bin_center,count
0.498046875,0
1.494140625,0
2.490234375,0
3.486328125,0
4.482421875,0
5.478515625,0
6.474609375,0
7.470703125,0
8.466796875,0
9.462890625,0
10.458984375,0
11.455078125,0
12.451171875,0
13.447265625,0
14.443359375,0
15.439453125,0
16.435546875,0
17.431640625,0
18.427734375,0
19.423828125,0
20.419921875,0
21.416015625,0
22.412109375,0
23.408203125,0
24.404296875,0
25.400390625,0
26.396484375,0
27.392578125,0
28.388671875,0
29.384765625,0
30.380859375,0
31.376953125,0
32.373046875,0
33.369140625,0
34.365234375,0
35.361328125,0
36.357421875,0
37.353515625,0
38.349609375,0
39.345703125,0
40.341796875,0
41.337890625,0
42.333984375,0
43.330078125,0
44.326171875,0
45.322265625,0
46.318359375,0
47.314453125,0
48.310546875,0
49.306640625,0
50.302734375,0
51.298828125,0
52.294921875,0
53.291015625,0
54.287109375,0
55.283203125,0
56.279296875,0
57.275390625,0
58.271484375,0
59.267578125,0
60.263671875,0
61.259765625,0
62.255859375,0
63.251953125,0
64.248046875,0
65.244140625,0
66.240234375,0
67.236328125,0
68.232421875,0
69.228515625,0
70.224609375,0
71.220703125,0
72.216796875,0
73.212890625,0
74.208984375,0
75.205078125,0
76.201171875,0
77.197265625,0
78.193359375,0
79.189453125,0
80.185546875,0
81.181640625,0
82.177734375,0
83.173828125,0
84.169921875,0
85.166015625,0
86.162109375,0
87.158203125,0
88.154296875,0
89.150390625,0
90.146484375,0
91.142578125,0
92.138671875,0
93.134765625,0
94.130859375,0
95.126953125,0
96.123046875,0
97.119140625,0
98.115234375,0
99.111328125,0
100.107421875,0
101.103515625,0
102.099609375,0
103.095703125,0
104.091796875,0
105.087890625,0
106.083984375,0
107.080078125,0
108.076171875,0
109.072265625,0
110.068359375,0
111.064453125,0
112.060546875,0
113.056640625,0
114.052734375,0
115.048828125,0
116.044921875,0
117.041015625,0
118.037109375,0
119.033203125,0
120.029296875,0
121.025390625,0
122.021484375,0
123.017578125,0
124.013671875,0
125.009765625,0
126.005859375,0
127.001953125,0
127.998046875,0
128.994140625,0
129.990234375,0
130.986328125,0
131.982421875,0
132.978515625,0
133.974609375,0
134.970703125,0
135.966796875,0
136.962890625,0
137.958984375,0
138.955078125,0
139.951171875,0
140.947265625,0
141.943359375,0
142.939453125,0
143.935546875,0
144.931640625,0
145.927734375,0
146.923828125,0
147.919921875,0
148.916015625,0
149.912109375,0
150.908203125,0
151.904296875,0
152.900390625,0
153.896484375,0
154.892578125,0
155.888671875,0
156.884765625,0
157.880859375,0
158.876953125,0
159.873046875,0
160.869140625,0
161.865234375,0
162.861328125,0
163.857421875,0
164.853515625,0
165.849609375,0
166.845703125,0
167.841796875,0
168.837890625,0
169.833984375,0
170.830078125,0
171.826171875,0
172.822265625,0
173.818359375,0
174.814453125,0
175.810546875,0
176.806640625,0
177.802734375,0
178.798828125,0
179.794921875,0
180.791015625,0
181.787109375,0
182.783203125,0
183.779296875,0
184.775390625,0
185.771484375,0
186.767578125,0
187.763671875,0
188.759765625,0
189.755859375,0
190.751953125,0
191.748046875,0
192.744140625,0
193.740234375,0
194.736328125,0
195.732421875,0
196.728515625,0
197.724609375,0
198.720703125,0
199.716796875,0
200.712890625,0
201.708984375,0
202.705078125,0
203.701171875,0
204.697265625,0
205.693359375,0
206.689453125,0
207.685546875,0
208.681640625,0
209.677734375,0
210.673828125,0
211.669921875,0
212.666015625,0
213.662109375,0
214.658203125,0
215.654296875,0
216.650390625,0
217.646484375,0
218.642578125,0
219.638671875,0
220.634765625,0
221.630859375,0
222.626953125,0
223.623046875,0
224.619140625,0
225.615234375,0
226.611328125,0
227.607421875,0
228.603515625,0
229.599609375,0
230.595703125,0
231.591796875,0
232.587890625,0
233.583984375,0
234.580078125,0
235.576171875,0
236.572265625,0
237.568359375,0
238.564453125,0
239.560546875,0
240.556640625,0
241.552734375,0
242.548828125,0
243.544921875,0
244.541015625,0
245.537109375,0
246.533203125,0
247.529296875,0
248.525390625,0
249.521484375,0
250.517578125,0
251.513671875,0
252.509765625,0
253.505859375,0
254.501953125,4816359
